Chord_Booster,Span_Booster,Sweep_Distance_Booster,Tip_Chord_Booster,Chord_Sustainer,Span_Sustainer ,Sweep_Distance_Sustainer ,Tip_Chord_Sustainer,Altitude
10,4,5.3333,3.3333,8,3,4,3,69113
10,4,5.3333,3.3333,10,3,4,3,67295
10,4,5.3333,3.3333,7,3,4,3,70065
10,4,5.3333,3.3333,6,3,4,3,71048
10,4,5.3333,3.3333,5,3,4,3,72066
10,4,5.3333,3.3333,5.25,3,4,3,71807
10,4,5.3333,3.3333,5.75,3,4,3,71299
10,4,5.3333,3.3333,5.5,3,4,3,71553
10,4,5.3333,3.3333,8,3.5,4,3,61739
10,4,5.3333,3.3333,8,2.7,4,3,74139
10,4,5.3333,3.3333,8,2.75,4,3,73272
10,4,5.3333,3.3333,8,2.8,4,3,72416
10,4,5.3333,3.3333,8,2.85,4,3,71572
10,4,5.3333,3.3333,8,2.9,4,3,70741
10,4,5.3333,3.3333,8,2.95,4,3,69921
10,4,5.3333,3.3333,8,3.1,4,3,67535
10,4,5.3333,3.3333,8,3,3.5,3,66502
10,4,5.3333,3.3333,8,3,3.75,3,67864
10,4,5.3333,3.3333,8,3,4.25,3,70264
10,4,5.3333,3.3333,8,3,4.5,3,71336
10,4,5.3333,3.3333,8,3,4.75,3,72343
10,4,5.3333,3.3333,8,3,5,3,73296
10,4,5.3333,3.3333,8,3,5.5,3,75096
10,4,5.3333,3.3333,8,3,6,3,76806
10,4,5.3333,3.3333,8,3,4,5,68672
10,4,5.3333,3.3333,8,3,4,6,68438
10,4,5.3333,3.3333,8,3,4,7,68202
10,4,5.3333,3.3333,8,3,4,8,67960
10,4,5.3333,3.3333,8,3,4,2,69317
10,4,5.3333,3.3333,8,3,4,1.5,69413
10,4,5.3333,3.3333,8,3,4,1,69505
10,4,5.3333,3.3333,8,3,4,0.5,69590
11,4,5.3333,3.3333,8,3,4,3,69006
10.5,4,5.3333,3.3333,8,3,4,3,69059
10,4,5.3333,3.3333,8,3,4,3,69113
9.5,4,5.3333,3.3333,8,3,4,3,69168
9,4,5.3333,3.3333,8,3,4,3,69226
8.5,4,5.3333,3.3333,8,3,4,3,69287
8,4,5.3333,3.3333,8,3,4,3,69349
7.5,4,5.3333,3.3333,8,3,4,3,69415
7,4,5.3333,3.3333,8,3,4,3,69484
6.5,4,5.3333,3.3333,8,3,4,3,69556
6,4,5.3333,3.3333,8,3,4,3,69637
10,3.5,5.3333,3.3333,8,3,4,3,69804
10,3.7,5.3333,3.3333,8,3,4,3,69526
10,3.9,5.3333,3.3333,8,3,4,3,69252
10,4.1,5.3333,3.3333,8,3,4,3,68970
10,4.3,5.3333,3.3333,8,3,4,3,68677
10,4.5,5.3333,3.3333,8,3,4,3,68366
10,4.7,5.3333,3.3333,8,3,4,3,68038
10,5,5.3333,3.3333,8,3,4,3,67542
10,5.3,5.3333,3.3333,8,3,4,3,67075
10,5.5,5.3333,3.3333,8,3,4,3,66769
10,4,5,3.3333,8,3,4,3,68943
10,4,4.8,3.3333,8,3,4,3,68817
10,4,4.6,3.3333,8,3,4,3,68666
10,4,4.4,3.3333,8,3,4,3,68503
10,4,4.2,3.3333,8,3,4,3,68356
10,4,3.5,3.3333,8,3,4,3,67846
10,4,5.5,3.3333,8,3,4,3,69181
10,4,5.7,3.3333,8,3,4,3,69254
10,4,5.9,3.3333,8,3,4,3,69315
10,4,6.1,3.3333,8,3,4,3,69368
10,4,6.2,3.3333,8,3,4,3,69391
10,4,6.4,3.3333,8,3,4,3,69433
10,4,6.6,3.3333,8,3,4,3,69470
10,4,6.8,3.3333,8,3,4,3,69502
10,4,7,3.3333,8,3,4,3,69530
10,4,5.333,3.2,8,3,4,3,69116
10,4,5.333,3,8,3,4,3,69121
10,4,5.333,2.9,8,3,4,3,69124
10,4,5.333,2.8,8,3,4,3,69126
10,4,5.333,2.5,8,3,4,3,69113
10,4,5.333,3.5,8,3,4,3,69109
10,4,5.333,3.7,8,3,4,3,69104
10,4,5.333,3.8,8,3,4,3,69102
10,4,5.333,4,8,3,4,3,69098
10,4,5.333,4.2,8,3,4,3,69092
10,4,5.333,4.4,8,3,4,3,69088
10,4,5.333,4.5,8,3,4,3,69086
6.9,4,5,4.4,8,3,4,3,69287
10.5,3.6,5.5,4.3,8,3,4,3,69629