Chord_Booster,Span_Booster,Sweep_Distance_Booster,Tip_Chord_Booster,Chord_Sustainer,Span_Sustainer ,Sweep_Distance_Sustainer ,Tip_Chord_Sustainer,Stability_Avg
10,4,5.3333,3.3333,8,3,4,3,3.1
10,4,5.3333,3.3333,10,3,4,3,3.3
10,4,5.3333,3.3333,7,3,4,3,3.233333333
10,4,5.3333,3.3333,6,3,4,3,3.133333333
10,4,5.3333,3.3333,5,3,4,3,2.966666667
10,4,5.3333,3.3333,5.25,3,4,3,3
10,4,5.3333,3.3333,5.75,3,4,3,3.066666667
10,4,5.3333,3.3333,5.5,3,4,3,3.016666667
10,4,5.3333,3.3333,8,3.5,4,3,3.466666667
10,4,5.3333,3.3333,8,2.7,4,3,3
10,4,5.3333,3.3333,8,2.75,4,3,3.05
10,4,5.3333,3.3333,8,2.8,4,3,3.1
10,4,5.3333,3.3333,8,2.85,4,3,3.183333333
10,4,5.3333,3.3333,8,2.9,4,3,3.216666667
10,4,5.3333,3.3333,8,2.95,4,3,3.283333333
10,4,5.3333,3.3333,8,3.1,4,3,3.416666667
10,4,5.3333,3.3333,8,3,3.5,3,3.206666667
10,4,5.3333,3.3333,8,3,3.75,3,3.28
10,4,5.3333,3.3333,8,3,4.25,3,3.403333333
10,4,5.3333,3.3333,8,3,4.5,3,3.443333333
10,4,5.3333,3.3333,8,3,4.75,3,3.486666667
10,4,5.3333,3.3333,8,3,5,3,3.533333333
10,4,5.3333,3.3333,8,3,5.5,3,3.603333333
10,4,5.3333,3.3333,8,3,6,3,3.663333333
10,4,5.3333,3.3333,8,3,4,5,3.523333333
10,4,5.3333,3.3333,8,3,4,6,3.586666667
10,4,5.3333,3.3333,8,3,4,7,3.616666667
10,4,5.3333,3.3333,8,3,4,8,3.643333333
10,4,5.3333,3.3333,8,3,4,2,3.23
10,4,5.3333,3.3333,8,3,4,1.5,3.166666667
10,4,5.3333,3.3333,8,3,4,1,3.103333333
10,4,5.3333,3.3333,8,3,4,0.5,3.03
11,4,5.3333,3.3333,8,3,4,3,3.343333333
10.5,4,5.3333,3.3333,8,3,4,3,3.006666667
10,4,5.3333,3.3333,8,3,4,3,3.346666667
9.5,4,5.3333,3.3333,8,3,4,3,3.343333333
9,4,5.3333,3.3333,8,3,4,3,3.343333333
8.5,4,5.3333,3.3333,8,3,4,3,3.343333333
8,4,5.3333,3.3333,8,3,4,3,3.346666667
7.5,4,5.3333,3.3333,8,3,4,3,3.35
7,4,5.3333,3.3333,8,3,4,3,3.35
6.5,4,5.3333,3.3333,8,3,4,3,3.353333333
6,4,5.3333,3.3333,8,3,4,3,3.353333333
10,3.5,5.3333,3.3333,8,3,4,3,3.693333333
10,3.7,5.3333,3.3333,8,3,4,3,3.353333333
10,3.9,5.3333,3.3333,8,3,4,3,3.343333333
10,4.1,5.3333,3.3333,8,3,4,3,3.34
10,4.3,5.3333,3.3333,8,3,4,3,3.333333333
10,4.5,5.3333,3.3333,8,3,4,3,3.326666667
10,4.7,5.3333,3.3333,8,3,4,3,3.313333333
10,5,5.3333,3.3333,8,3,4,3,3.3
10,5.3,5.3333,3.3333,8,3,4,3,3.29
10,5.5,5.3333,3.3333,8,3,4,3,3.28
10,4,5,3.3333,8,3,4,3,3.336666667
10,4,4.8,3.3333,8,3,4,3,3.336666667
10,4,4.6,3.3333,8,3,4,3,3.326666667
10,4,4.4,3.3333,8,3,4,3,3.326666667
10,4,4.2,3.3333,8,3,4,3,3.32
10,4,3.5,3.3333,8,3,4,3,3.3
10,4,5.5,3.3333,8,3,4,3,3.346666667
10,4,5.7,3.3333,8,3,4,3,3.346666667
10,4,5.9,3.3333,8,3,4,3,3.346666667
10,4,6.1,3.3333,8,3,4,3,3.35
10,4,6.2,3.3333,8,3,4,3,3.356666667
10,4,6.4,3.3333,8,3,4,3,3.353333333
10,4,6.6,3.3333,8,3,4,3,3.353333333
10,4,6.8,3.3333,8,3,4,3,3.353333333
10,4,7,3.3333,8,3,4,3,3.37
10,4,5.333,3.2,8,3,4,3,3.01
10,4,5.333,3,8,3,4,3,3.343333333
10,4,5.333,2.9,8,3,4,3,3.343333333
10,4,5.333,2.8,8,3,4,3,3.343333333
10,4,5.333,2.5,8,3,4,3,3.343333333
10,4,5.333,3.5,8,3,4,3,3.343333333
10,4,5.333,3.7,8,3,4,3,3.343333333
10,4,5.333,3.8,8,3,4,3,3.343333333
10,4,5.333,4,8,3,4,3,3.343333333
10,4,5.333,4.2,8,3,4,3,3.343333333
10,4,5.333,4.4,8,3,4,3,3.343333333
10,4,5.333,4.5,8,3,4,3,3.34
6.9,4,5,4.4,8,3,4,3,3.346666667
10.5,3.6,5.5,4.3,8,3,4,3,3.353333333